,month,avg_rank,avg_pp
0,2014-05,24771.0,1514.59
1,2014-06,21064.0,1735.54
2,2014-07,17298.0,2005.97
3,2014-08,20833.5,1872.12
4,2014-09,19490.0,2006.18
5,2014-10,17874.5,2160.575
6,2014-11,18719.5,2187.19
7,2014-12,20231.5,2192.575
8,2015-01,21933.0,2192.67
9,2015-02,21887.0,2229.62
10,2015-03,22520.0,2261.76
11,2015-04,22254.0,2366.46
12,2015-05,25433.5,2302.17
13,2015-06,25395.5,2369.735
14,2015-07,24401.0,2482.73
15,2015-08,24517.0,2547.135
16,2015-09,25461.0,2574.27
17,2015-10,23782.0,2699.25
18,2015-11,23747.0,2759.12
19,2015-12,27144.0,2668.02
20,2016-01,29262.0,2658.43
21,2016-02,28315.5,2763.41
22,2016-03,29839.0,2778.93
23,2016-04,28510.0,2895.51
24,2016-05,28244.0,2935.02
25,2016-06,26300.0,2976.2749999999996
26,2016-07,29173.0,2914.61
27,2016-08,28190.5,3004.87
28,2016-09,27461.0,3116.52
29,2016-10,28008.0,3174.62
30,2016-11,26769.0,3290.92
31,2016-12,28972.0,3239.9
32,2017-01,35307.0,3045.315
33,2017-02,45556.0,2742.38
34,2017-03,46922.0,2758.415
35,2017-04,51629.0,2675.95
36,2017-05,53079.0,2690.035
37,2017-06,53931.0,2723.585
38,2017-07,51916.0,2831.75
39,2017-08,52426.5,2863.225
40,2017-09,50465.0,2981.0
41,2017-10,51907.5,2974.35
42,2017-11,57055.0,2873.8500000000004
43,2017-12,60888.0,2820.12
44,2018-01,60601.0,2872.8599999999997
45,2018-02,58020.5,2986.23
46,2018-03,59174.0,3006.26
47,2018-04,61737.0,2999.93
48,2018-05,63784.0,2870.54
49,2018-06,65475.5,2818.5600000000004
50,2018-07,62186.0,2978.69
51,2018-08,61235.0,3067.89
52,2018-09,60284.0,3151.415
53,2018-10,53364.0,3380.78
54,2018-11,42843.0,3750.77
55,2018-12,40378.0,3886.245
56,2019-01,40834.0,3921.885
57,2019-02,41071.5,3979.84
58,2019-03,46336.0,3877.74
59,2019-04,43295.0,4046.88
60,2019-05,40127.0,4230.99
61,2019-06,29969.0,4713.88
62,2019-07,34622.0,4567.52
63,2019-08,38999.0,4427.45
64,2019-09,34333.0,4679.1849999999995
65,2019-10,37289.0,4615.485
66,2019-11,32827.0,4845.31
67,2019-12,29837.0,5020.645
68,2020-01,27981.0,5161.54
69,2020-02,30776.5,5065.79
70,2020-03,32261.5,5039.92
71,2020-04,28134.0,5280.82
72,2020-05,25376.0,5462.49
73,2020-06,31886.0,5191.19
74,2020-07,35414.0,5107.53
75,2020-08,33131.5,5252.4349999999995
76,2020-09,30844.0,5399.44
77,2020-10,29447.0,5517.135
78,2020-11,30992.0,5487.35
79,2020-12,31188.5,5519.24
80,2021-01,30750.0,5498.58
81,2021-02,34422.0,5339.09
82,2021-03,32799.0,5485.26
83,2021-04,31930.0,5594.66
84,2021-05,30555.0,5722.51
85,2021-06,36326.0,5533.77
86,2021-07,32378.5,5740.0
87,2021-08,31612.0,5650.38
88,2021-09,39418.0,5367.965
89,2021-10,38365.0,5422.335
90,2021-11,34702.0,5391.095
91,2021-12,34740.0,5322.69
92,2022-01,32101.0,5518.66
93,2022-02,35994.0,5407.47
94,2022-03,34113.0,5528.92
95,2022-04,35748.0,5509.06
96,2022-05,33268.0,5647.42
97,2022-06,37142.0,5567.52
98,2022-07,60395.0,4583.51
99,2022-08,72276.0,4586.37
100,2022-09,54086.5,5146.65
101,2022-10,39228.0,5378.93
