id,user,count300,count100,count50,playcount,ranked_score,total_score,pp_rank,level,pp_raw,accuracy,count_rank_ss,count_rank_s,count_rank_a,timestamp,mode
1152263,9415048,2120865,358983,44889,11993,2748681532,11715580890,43124,97.7376,3013.71,96.8191146850586,10,215,246,2017-05-27 00:48:45,0
1154842,9415048,2125590,359484,44913,12016,2751071382,11752291640,42884,97.7499,3024.19,96.89196014404295,10,215,246,2017-05-27 18:28:02,0
1154862,9415048,2126767,359537,44915,12024,2751157452,11759492073,42694,97.7524,3030.01,96.97632598876952,10,215,246,2017-05-27 18:36:49,0
1154874,9415048,2127210,359557,44915,12025,2751530362,11766124553,42640,97.7546,3031.8,96.99050903320312,10,215,246,2017-05-27 18:41:30,0
1164006,9415048,2158757,362614,45164,12196,2808765073,12006228932,42378,97.8353,3044.96,97.04598236083984,10,216,251,2017-05-30 19:24:54,0
1164161,9415048,2165406,363648,45298,12251,2810141363,12035153665,42081,97.845,3055.92,97.08230590820312,10,216,251,2017-05-30 20:18:19,0
1177479,9415048,2191697,366316,45554,12408,2836721263,12233653289,41783,97.9117,3072.51,97.18038940429688,10,219,250,2017-06-04 02:27:29,0
1200887,9415048,2231631,369994,45809,12609,2870001093,12445959317,41503,97.983,3093.94,97.15438079833984,10,221,255,2017-06-11 16:31:46,0
1200913,9415048,2232517,370022,45809,12612,2875891903,12460949927,41503,97.9881,3093.94,97.15438079833984,10,222,255,2017-06-11 16:40:53,0
1222014,9415048,2277765,376084,46507,12831,2909624294,12694823420,40780,98.0381,3138.61,97.25980377197266,10,223,259,2017-06-18 21:32:40,0
1231150,9415048,2302417,379558,46948,12959,2931818464,12835756517,39605,98.0651,3183.41,97.36190032958984,10,225,264,2017-06-22 03:07:40,0
1277513,9415048,2388243,390599,48289,13398,2971689583,13340233310,38457,98.162,3244.93,97.48234558105467,11,227,265,2017-07-06 18:58:12,0
1330245,9415048,2505542,405320,49841,13905,3109325066,14022533425,36145,98.293,3352.6,97.48251342773438,11,232,284,2017-07-20 23:16:24,0
1335304,9415048,2517957,407146,50072,13957,3128973017,14094231455,35850,98.3067,3364.92,97.48001861572266,11,232,287,2017-07-21 21:17:29,0
1342318,9415048,2537599,409959,50380,14039,3142527895,14182118875,35864,98.3236,3365.11,97.47086334228516,11,233,287,2017-07-23 16:38:45,0
1342687,9415048,2549326,410970,50458,14108,3156948869,14262962725,35408,98.3391,3385.72,97.42768096923828,11,233,289,2017-07-23 18:52:55,0
1388592,9415048,2658134,421702,51527,14710,3212103165,14896780050,31913,98.4608,3546.71,97.63352966308594,11,242,287,2017-08-02 04:38:46,0
1391648,9415048,2676027,423131,51621,14799,3248073104,15047176366,31342,98.4897,3571.35,97.71239471435548,11,244,289,2017-08-03 00:48:59,0
1391674,9415048,2677600,423334,51634,14803,3252623614,15062301626,31026,98.4926,3585.38,97.67608642578124,11,245,289,2017-08-03 00:57:46,0
